,职位名,公司名,地点,薪资
44,Java高级软件开发工程师,苏州乔客云数据科技有限公司,苏州-工业园区,0.9-1万/月
45,Java/Android软件开发,精武（天津）安全防范技术有限责任公司,天津-和平区,0.6-1万/月
46,Java开发实习生/五险一金,恩梯梯数据通信软件工程（大连）有限公司,大连,1-1.5万/月
47,Java开发工程师,大连域维信息技术有限公司,大连-高新园区,4.5-6千/月
48,,长春市红彩旗彩印有限公司,长春-高新技术...,4.5-6千/月
49,,宁波鄞州新城二姥爷家具店,宁波-鄞州区,0.8-1万/月
0,Java开发工程师,深圳联合保理有限公司,深圳-福田区,1-1.5万/月
1,Java开发工程师,福建九天达信息科技股份有限公司,福州,0.8-1.6万/月
2,软件开发工程师 JAVA方向,沈阳金创想系统集成有限公司,沈阳,3-8千/月
3,Java高级开发工程师（周末双休，加班调休/补贴）,广州纳诺科技股份有限公司,广州-白云区,1.5-2.2万/月
4,1121L8-Java开发工程师,平安科技（深圳）有限公司,上海-浦东新区,20-30万/年
5,java开发经理,武汉宏数信息技术有限责任公司,武汉-江岸区,15-20万/年
6,Java服务器开发工程师（初中级）,雷神互娱,广州-天河区,0.5-1万/月
7,Java开发工程师,深圳市前海运通技术有限公司,深圳-盐田区,1-1.5万/月
8,ERP开发顾问（.net/java）（初级）,无锡优服普联信息科技有限公司,无锡-惠山区,6-8千/月
9,Java开发工程师,河南正同信息技术有限公司,郑州-金水区,5-8千/月
10,Java开发工程师（研究生实习）,广州以大计算机科技有限公司,广州-天河区,4-6千/月
11,Java开发工程师,上海悦为网络科技有限公司,南京-玄武区,0.8-1.5万/月
12,高级java开发,税友软件集团股份有限公司,杭州-滨江区,1.5-3.5万/月
13,Java开发工程师,武汉华信联创技术工程有限公司,武汉-洪山区,1-1.5万/月
14,Java后台开发工程师,量意集团有限公司,成都-高新区,0.9-1.5万/月
15,Java开发工程师,北京思特奇信息技术股份有限公司福建分公司,广州-天河区,0.7-1.3万/月
16,中间件开发（JAVA）,杭州涂鸦信息技术有限公司,杭州-西湖区,2-3.2万/月
17,Java开发工程师,深圳市亚声威格科技有限公司,深圳-龙岗区,1-1.5万/月
18,Java开发工程师,武汉启创动力网络科技有限公司,武汉-武昌区,0.8-1万/月
19,Java开发工程师（沈阳）,北京云族佳科技有限公司广州分公司,沈阳-和平区,0.8-1万/月
20,Java高级开发工程师,北京畅捷通支付技术有限公司,上海,1.5-3万/月
21,Java开发工程师,深圳市凯东源现代物流股份有限公司,深圳-龙华新区,6-8千/月
22,Java开发工程师,南京诚创财务咨询有限公司,南京-鼓楼区,0.8-2万/月
23,Java开发工程师,深圳市睿服科技有限公司,深圳-福田区,1-1.5万/月
24,Java开发工程师,中山市通顺信息科技有限公司,中山,4-5千/月
25,Java高级开发工程师,广州易星信息科技有限公司,北京-海淀区,1.2-1.8万/月
26,java开发工程师,深圳环金科技有限公司,深圳,1.3-2万/月
27,Java高级开发工程师,上海驿趣信息技术有限公司,上海-浦东新区,1.5-2万/月
28,Java高级开发工程师,北京华园西姆科技有限公司,北京,1-2万/月
29,Java高级开发工程师,北京易诚互动网络技术有限公司,苏州,3-4万/月
30,Java开发工程师,深圳市木浪云数据有限公司,深圳,0.8-1.5万/月
31,(急聘) java开发工程师,深圳讯腾软件技术有限公司,深圳-宝安区,4.5-8千/月
32,java开发工程师（深圳）,深圳市云拓信息科技有限公司,深圳,4.5-8千/月
33,Java高级开发工程师,成都微核科技股份有限公司,成都-金牛区,1.5-2万/月
34,Java开发工程师,上海易立德信息技术股份有限公司,佛山-顺德区,1-1.5万/月
35,Java初级开发工程师-金融,易航科技股份有限公司,上海-浦东新区,0.8-1.2万/月
36,Java中级开发工程师（金融行业）,北京东软越通软件技术有限公司,北京-海淀区,1-2万/月
37,Java开发总监,广东旭诚科技有限公司,广州-海珠区,2.5-4万/月
38,Java开发经理,宏智科技（苏州）股份有限公司,苏州,1-1.5万/月
39,Java开发工程师,深圳市蚂蚁智行科技有限公司,深圳-龙华新区,1.2-1.6万/月
40,Java开发工程师,北京数字政通科技股份有限公司,北京-海淀区,1-1.8万/月
41,JAVA开发工程师,中科软科技股份有限公司,北京,0.5-1万/月
42,Java高级开发工程师,芜湖富蓉信息技术有限公司,芜湖,0.8-1.2万/月
43,Java高级开发工程师,佛山世寰智能科技有限公司,佛山,1-1.5万/月
44,Java高级开发工程师,南京海翊数据技术有限公司,北京-朝阳区,1.4-2万/月
45,Java开发工程师,重庆中航建设（集团）有限公司,重庆-渝北区,0.8-1万/月
46,Java中级开发工程师,上海才扬软件科技有限公司,上海,1-2.5万/月
47,java软件开发,广西纵深供应链管理有限责任公司,南宁,6-8千/月
48,Java开发工程师,杭州欧比慈软件开发有限公司,杭州-萧山区,15-20万/年
49,Java开发工程师,万数科技（大连）有限公司,大连-高新园区,1.5-1.8万/月
